review_id,user_id,business_id,stars_x,useful,funny,cool,text,date,name,address,city,state,postal_code,latitude,longitude,stars_y,review_count,is_open,attributes,categories,hours,label,pre_process
7Lsue1__5v3-Y_PF2CS7bA,4LbxeQIyej3mr6HYYTsd7Q,SZU9c8V2GuREDN5KgyHFJw,1,0,0,0,First off the bathroom smell like dirty seafood which almost took away my appetite to start with we order the king crab and lobster tacos there was hardly any meat in the king crab and considering that it was more expensive than the 3 pounds of a different kind of crab you would think that there would've been plenty of meat My lobster tacos was over an under cooked but the next two days hunched over the toilet so disappointed,2016-04-23 22:06:09,Santa Barbara Shellfish Company,230 Stearns Wharf,Santa Barbara,CA,93101,34.4087147,-119.6850187,4.0,2404,1,"{'OutdoorSeating': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'False', 'WiFi': ""u'no'"", 'Alcohol': ""'beer_and_wine'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': True, 'lot': False, 'valet': False}"", 'HasTV': 'False', 'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'Caters': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsDelivery': 'True', 'HappyHour': 'False', 'Music': ""{u'dj': False, u'live': False, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': False, u'no_music': False}"", 'GoodForMeal': ""{u'breakfast': False, u'brunch': None, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': False}"", 'CoatCheck': 'False', 'BestNights': ""{u'monday': False, u'tuesday': False, u'wednesday': False, u'thursday': False, u'friday': False, u'saturday': True, u'sunday': False}"", 'BusinessAcceptsBitcoin': 'False'}","Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-14:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",0,first bathroom smell like dirty seafood almost took away appetite start order king crab lobster taco hardly meat king crab considering expensive pound different kind crab would think would plenty meat lobster taco cooked next two day hunched toilet disappointed
NZzgLC06h1lXpgqYeHVSxQ,ZbDR27cCgShAdKU2TQXwKg,q6661I3CGW0UB740E5Zjfw,1,1,0,0,"Quite possibly the worst ""indian"" food I have ever experienced. Not a hater. This is based on takeout  so I have no experience with the service.

Bland, bland, bland, burnt, and awful. Love Indian food. I wish this approximated it.

Our order consisted of fairly pedantic fare, as far as Indian goes:

-pappadam...not on menu they went to the Nepalese place across the street to buy it...chutney. ...noooope
- chicken tikka (date ordered it , don't judge) tasted like tomato soup with tandoori chix
- chicken jalfreizi, ordered Indian spicy, had canned veggies in it, in a broth - like substance, unedible
- Naan- was ABC and dry, oh and burnt-to-beat-the-band.
- garlic kulcha- only edible item. Tho it was neither garlic or kulcha

All for the low, low price of 70 cold stones. 

If you like a bizzaro world of Sysco ""Indian food"" this your place. If u want anything close to Indian.....wide berth from your local India garden.",2015-03-05 04:49:10,India House,418 State St,Santa Barbara,CA,93101,34.4165402,-119.6945773,2.0,136,0,"{'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': True, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}""}","Home & Garden, Home Decor, Restaurants, Shopping, Indian","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-21:0'}",0,quite possibly worst indian food ever experienced hater based takeout experience service bland bland bland burnt awful love indian food wish approximated order consisted fairly pedantic fare far indian go pappadam menu went nepalese place across street buy chutney noooope chicken tikka date ordered judge tasted like tomato soup tandoori chix chicken jalfreizi ordered indian spicy canned veggie broth like substance unedible naan abc dry oh burnttobeattheband garlic kulcha edible item tho neither garlic kulcha low low price cold stone like bizzaro world sysco indian food place u want anything close indian wide berth local india garden
GLJgz8OT1Naw8CtisNTdow,PoTB7fwV--PaX-z_yhLXdA,5hJZe_v9Ax5GjXJCMQ9ijw,1,0,0,0,"Last time I will use FedEx Office. Went in for a passport photo, and there were two guys working there. In ten minutes of standing at the counter, neither of them ever acknowledged that I existed, or even looked my way. As I waited, a line of customers waiting to pay formed behind me. I originally thought it would be faster than taking my own picture, cropping and printing it, but I gave up on FedEx and went and did it myself. Don't know who else does passport photos, but for copies, I certainly choose to use the local Bill's Copy Shop, after a previous bad experience with FedEx for copies. They're a waste of time.",2017-03-15 17:49:29,FedEx Office Print & Ship Center,1030 State St,Santa Barbara,CA,93101,34.422313,-119.702806,2.0,53,1,{'BusinessAcceptsCreditCards': 'True'},"Printing Services, Education, Signmaking, Preschools, Shipping Centers, Elementary Schools, Local Services, Colleges & Universities, Professional Services","{'Monday': '7:30-21:0', 'Tuesday': '7:30-21:0', 'Wednesday': '7:30-21:0', 'Thursday': '7:30-21:0', 'Friday': '7:30-21:0', 'Saturday': '8:0-18:0', 'Sunday': '12:0-18:0'}",0,last time use fedex office went passport photo two guy working ten minute standing counter neither ever acknowledged existed even looked way waited line customer waiting pay formed behind originally thought would faster taking picture cropping printing gave fedex went know else passport photo copy certainly choose use local bill copy shop previous bad experience fedex copy waste time
IYleeBcfoXlgwMeRcEFAUQ,jYyUWgcy2FiEIMPwj988PQ,HQ-C47_Xi5it1KzwEc0u0A,1,0,0,0,Waited over 1 hour for pizza. And they called 20 numbers after us. Employees are rude! Would never recommend this place. Would give negative stars if possible.,2015-08-09 09:14:13,Barbarians,511 State St,Santa Barbara,CA,93101,34.4170059325,-119.6960398541,3.0,96,0,"{'Alcohol': ""u'beer_and_wine'"", 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Smoking': ""u'no'"", 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'WiFi': ""'no'"", 'GoodForDancing': 'False', 'NoiseLevel': ""u'average'"", 'HappyHour': 'True', 'Caters': 'False', 'CoatCheck': 'False', 'HasTV': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Music': ""{'dj': False}"", 'RestaurantsGoodForGroups': 'True', 'BestNights': ""{'monday': True, 'tuesday': False, 'friday': False, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}""}","Pizza, Bars, Sports Bars, Restaurants, Nightlife","{'Monday': '17:0-2:30', 'Tuesday': '17:0-2:30', 'Wednesday': '17:0-2:30', 'Thursday': '17:0-2:30', 'Friday': '17:0-2:30', 'Saturday': '11:0-2:30', 'Sunday': '11:0-2:30'}",0,waited hour pizza called number u employee rude would never recommend place would give negative star possible
k0xQrwbjdb9DqoWSPmcG1g,HtPSa9IIR4q9bSSAcrbyIw,noByYNtDLQAra9ccqxdfDw,1,1,0,1,"The staff of this H&M are some of the WORST retail employees I have ever encountered. 

Friday Sept 11 my friend and I came in to find a dress for my upcoming presentation. The young man running the dressing room was very sarcastic and rude to customers yelling ""you're welcome"" in an obviously exaggerated and disingenuous manner. When we finally found what we came for, the power went out. We were asked to drop our items and exit the store. We asked if there was any way we could hold our items. The staff member said she would put them on hold under our name. 

Saturday Sept 12 we returned right when the store opened, and the staff was very unhelpful and made very little effort to try to find our items we thought were on hold. We looked around on the racks for our desired items and they were nowhere to be found. We asked several employees for help and they could not be bothered to care other than to point us in the direction of where it ""should be"". When I was in the fitting room, my friend finished before me and returned her number to the employee. As she walked away, the fitting room staff who we had asked about our items proceeded to talk about how annoying she was and that helping us is ""not their job"". I get it, you are a retail employee and it's late Saturday morning, but we were not rude, we simply asked if you saw the dress, if you could possibly help us find what we are looking for. If you can't be bothered to help customers than you shouldn't be working in customer service. Talking crap about customers on the job (especially when they can hear you) is never acceptable. Good luck in the real world ladies, I hope your catty, ""not my job"" attitudes take you far!

Also, the fitting room floors are absolutely filthy. I had brand new pink socks on and by standing on their floor the bottoms became black from the dirt and dust.",2015-09-12 23:46:16,H&M,827-833 State St,Santa Barbara,CA,93101,34.4202089255,-119.7004597389,3.0,24,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1'}","Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion","{'Monday': '11:0-18:0', 'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0', 'Saturday': '11:0-18:0', 'Sunday': '11:0-18:0'}",0,staff h worst retail employee ever encountered friday sept friend came find dress upcoming presentation young man running dressing room sarcastic rude customer yelling welcome obviously exaggerated disingenuous manner finally found came power went asked drop item exit store asked way could hold item staff member said would put hold name saturday sept returned right store opened staff unhelpful made little effort try find item thought hold looked around rack desired item nowhere found asked several employee help could bothered care point u direction fitting room friend finished returned number employee walked away fitting room staff asked item proceeded talk annoying helping u job get retail employee late saturday morning rude simply asked saw dress could possibly help u find looking bothered help customer working customer service talking crap customer job especially hear never acceptable good luck real world lady hope catty job attitude take far also fitting room floor absolutely filthy brand new pink sock standing floor bottom became black dirt dust
--IuxB6TbaUz8ogNHe9DNQ,Tz7jexWFORFMUEEEEoQr-A,34Eqv8jXgxg_EEwcsNgeeg,1,0,0,0,I usually come to this place a lot and enjoy there smoothies and acai bowls all the time. Sometimes the wait can get pretty bad but nothing too crazy until today.  I ordered a Hercules smoothie which I get all the time and the wait is usually 5-15 mins. Today I waited 30 mins for a smoothie.  I go up and ask about my smoothie after waiting 30 mins and found out they haven't even started it.  After that I watch the guy behind the counter make my smoothie in less than a minute.  Honestly probably one of the worst smoothies I have ever bought and I dont think I will ever come back.  I could have made a better smoothie.  Just very disappointing.,2018-08-17 17:19:08,Backyard Bowls,331 Motor Way,Santa Barbara,CA,93101,34.4151137,-119.6944966,4.0,659,1,"{'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'Alcohol': ""u'none'"", 'NoiseLevel': ""u'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'DogsAllowed': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'HasTV': 'True', 'RestaurantsTableService': 'False', 'Caters': 'False', 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'HappyHour': 'False', 'RestaurantsDelivery': 'None', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}""}","Health Markets, Coffee & Tea, Ice Cream & Frozen Yogurt, Restaurants, Juice Bars & Smoothies, Breakfast & Brunch, Food, American (New), Specialty Food","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-17:0'}",0,usually come place lot enjoy smoothy acai bowl time sometimes wait get pretty bad nothing crazy today ordered hercules smoothie get time wait usually min today waited min smoothie go ask smoothie waiting min found even started watch guy behind counter make smoothie le minute honestly probably one worst smoothy ever bought dont think ever come back could made better smoothie disappointing
v7N2FPEMpTV8mlKMOF1oKQ,pT-18TD-gKNG_BlbdyoBCg,ygZyTUWS4dbVL8d6vAiN4A,1,0,0,0,"ghetto hole in the wall, the chips are not free, the salsa bar is nasty dirty... seems like everything in there is either sticky or greasy... try it , it might be your thing...",2015-01-04 17:11:39,Taqueria Rincon Alteno,115 E Haley St,Santa Barbara,CA,93101,34.418462,-119.693982,4.0,68,1,"{'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'False', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'no'"", 'HasTV': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{u'divey': True, u'hipster': False, u'casual': None, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}""}","Mexican, Restaurants","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",0,ghetto hole wall chip free salsa bar nasty dirty seems like everything either sticky greasy try might thing
mhqEqEgVB-KvoNIZkGFNHw,myDB_AljpwAvHqNCmeMk-A,uO39--k_hrCFgZh-Bl8m8A,2,0,0,0,"The people who work here are nice, but the food wasn't very good. I got a carne asada burrito. The meat was so tough and gristly that I picked out/spit out half of it. Gross. But the rice, beans, and tortilla were yummy! The horchata was not from scratch and tasted powdery. Guess I got the wrong stuff!!",2014-04-04 03:42:51,Taqueria Cuernavaca,201 W Carrillo St,Santa Barbara,CA,93101,34.418932,-119.704239,4.5,409,1,"{'Caters': 'False', 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'Alcohol': ""u'none'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'HappyHour': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","Mexican, Tacos, Restaurants","{'Monday': '10:0-20:30', 'Wednesday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '10:0-20:30', 'Saturday': '10:0-20:30', 'Sunday': '10:0-20:30'}",0,people work nice food good got carne asada burrito meat tough gristly picked outspit half gross rice bean tortilla yummy horchata scratch tasted powdery guess got wrong stuff
mXGD3VATGn3mkGyn26wunw,UOMbV4S0qB8hdeO16QsOUg,29YqJwOGEuAWqlHZxMc1OA,2,0,0,0,"i havent been here in years, and was so excited to go back. unfortunately we were disappointed. the waitress never brought us bread, so we had to ask the bus boy for it. the garlic bread was cold and stale, like it had been made days before. i ordered the ahi skewers with a ""shepherd's"" side salad. the salad only consisted of mixed greens, with a few cherry tomatoes tossed with a vinaigrette - very boring. the ahi was slightly overcooked and dry, but i did like the oak-grilled flavor. also came with rice which was quite oily. my husband had the tri-tip sandwich, which actually turned out to be sliced roast beef - weird! the rest of our guests said the food was ok, but not worthy of coming back. the young waitress seemed nice enough, but honestly she was terrible. we will NOT be going back, it is not nearly as good as it used to be!!!!!",2010-07-11 22:27:47,Paradise Cafe,702 Anacapa St,Santa Barbara,CA,93101,34.4200355,-119.6968511,3.5,290,0,"{'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'True', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForKids': 'True', 'Alcohol': ""'full_bar'"", 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'BikeParking': 'True', 'HappyHour': 'True', 'NoiseLevel': ""u'average'"", 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}""}","American (Traditional), American (New), Nightlife, Restaurants, Seafood, Cafes","{'Monday': '11:0-15:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",0,havent year excited go back unfortunately disappointed waitress never brought u bread ask bus boy garlic bread cold stale like made day ordered ahi skewer shepherd side salad salad consisted mixed green cherry tomato tossed vinaigrette boring ahi slightly overcooked dry like oakgrilled flavor also came rice quite oily husband tritip sandwich actually turned sliced roast beef weird rest guest said food ok worthy coming back young waitress seemed nice enough honestly terrible going back nearly good used
OIiHQqLB5sy0Y3C-yu0O1Q,kt5EDBJJUCuWWs2MUhdkqQ,I0jFTYVDs-WHwKR2XHQlRA,2,0,0,0,Mediocre food. We've traveled the world in search of great Thai food and this is a poor offering. Nice decor though.,2014-10-13 04:22:10,Zen Yai Thai Cuisine,425 State St,Santa Barbara,CA,93101,34.4162591,-119.6952494,4.0,347,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'beer_and_wine'"", 'BYOBCorkage': ""'no'"", 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'WiFi': ""u'no'"", 'Caters': 'False', 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'HappyHour': 'True', 'NoiseLevel': ""u'quiet'"", 'OutdoorSeating': 'None', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsDelivery': 'True'}","Thai, Restaurants, American (New), Pop-Up Restaurants, Asian Fusion","{'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:45', 'Saturday': '17:0-21:45', 'Sunday': '17:0-21:0'}",0,mediocre food traveled world search great thai food poor offering nice decor though
