business_id,name,address,city,state,postal_code,review_count,review_id,stars,text
XQfwVwDr-v0ZS3_CbbE5Xw,Turning Point of North Wales,1460 Bethlehem Pike,North Wales,PA,19454,169,KU_O5udG6zpxOg-VcAEodg,3,"If you decide to eat here, just be aware it is going to take about 2 hours from beginning to end. We have tried it multiple times, because I want to like it! I have been to it''s other locations in NJ and never had a bad experience. 

The food is good, but it takes a very long time to come out. The waitstaff is very young, but usually pleasant. We have just had too many experiences where we spent way too long waiting. We usually opt for another diner or restaurant on the weekends, in order to be done quicker."
gmjsEdUsKpj9Xxu6pdjH0g,The Voodoo Bone Lady Tours,"201 St Charles Ave, Ste 2560",New Orleans,LA,70170,359,6AxgBCNX_PNTOxmbRSwcKQ,5,"Loved this tour! I grabbed a groupon and the price was great. It was the perfect way to explore New Orleans for someone who''d never been there before and didn''t know a lot about the history of the city. Our tour guide had tons of interesting tidbits about the city, and I really enjoyed the experience. Highly recommended tour. I actually thought we were just going to tour through the cemetery, but she took us around the French Quarter for the first hour, and the cemetery for the second half of the tour. You''ll meet up in front of a grocery store (seems strange at first, but it''s not terribly hard to find, and it''ll give you a chance to get some water), and you''ll stop at a visitor center part way through the tour for a bathroom break if needed. This tour was one of my favorite parts of my trip!"
uMvVYRgGNXf5boolA9HXTw,Shalimar Fine Jewelers,250 Westshore Plz,Tampa,FL,33609,8,rGQRf8UafX7OTlMNN19I8A,5,"My experience with Shalimar was nothing but wonderful. 
I wanted to get my engagement ring sized and was told over the phone that it could probably be done within the day. 
When I brought it by, the team confirmed that the jeweler would be able to accommodate my same-day request and that it would be around $40 (simple band, decrease by three full sizes).
I checked my size one more time, confirmed, and left to let them do their thing.
When I came to pick up later that afternoon, the ring was too small. It''s very important to note that Shalimar sized the ring perfectly, but that I made a mistake and should''ve gone up a half-size.
The Shalimar group were completely understanding and accommodating, even resizing my ring back up and getting it back to me within an hour at no charge! Even though it was my mistake!
The associates'' attitudes in dealing with what was a pretty embarrassing situation instantly earned my satisfaction and loyalty as a customer. Very grateful for such a wonderful experience."
EQ-TZ2eeD_E0BHuvoaeG5Q,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,1379,l3Wk_mvAog6XANIuGQ9C7Q,4,"Locals recommended Milktooth, and it''s an amazing jewel of Indianapolis. I''m glade I had the chance to experience this."
lj-E32x9_FA7GmUrBGBEWg,Brio Italian Grille,1601 S Lindbergh Blvd,St Louis,MO,63131,366,XW_LfMv0fV21l9c6xQd_lw,4,Love going here for happy hour or dinner!  Great patio with fans to beat the StL heat!   Also...very accomodating at this location.  I like the Veal Milanese but with mixed greens instead of pasta!  they'll modify the menu to suit your taste!
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,307 Chartres St,New Orleans,LA,70116,1865,nIZshoo5BnWb5B7kUBLPnQ,5,Great service. My husband ordered a cheese and bacon burger and I got the crawfish sausage por bo both well made and great tasting.
BVndHaLihEYbr76Z0CMEGw,Mamas Kitchen,5524 S Dale Mabry Hwy,Tampa,FL,33611,162,OAhBYw8IQ6wlfw1owXWRWw,5,"Great place for breakfast! I had the waffle, which was fluffy and perfect, and home fries which were nice and smashed and crunchy. Friendly waitstaff. Will definitely be back!"
CLEWowfkj-wKYJlQDqT1aw,Blow Bar Express Styling Salon,"310 S Dale Mabry Hwy, Ste 110",Tampa,FL,33609,55,u2vzZaOqJ2feRshaaF1doQ,5,"I go to blow bar to get my brows done by natalie (brow specialist) which i highly recommend she is great does a great job on my eyebrows! But then i got a blow by victoria!! Wow i was impress i have thin, straight, dead hair and she left me with the biggest volume ive ever had!!! Tried another girl but didnt like it as much so victoria will be my girl for ever; very beautiful clean place!!!"
ut6fi2W2YaipNOqvi7e0jw,Upland Carmel Tap House,820 E 116th St,Carmel,IN,46032,244,ZVvhc3Go7v5I8XTiVoWmqQ,3,"Upland is a brewery based out of Bloomington, Indiana that has become popular enough to open up a couple additional locations in central Indiana.  All of their beers are very good, and I am also a fan of their burgers and tenderloins.  Therefore, I was excited to try their pizza, but I don''t think it ended up being on par with these other items.  My margherita pizza had a cracker-like crust and was pretty light overall.  The cheese was good, but none of the other toppings added much flavor.  There was no red sauce as is typical for a true margherita pizza.  My opinion is that Upland''s pizza might serve as a nice appetizer for a group, but I''ll be sticking with their burgers or tenderloins as my meal of choice on future visits."
rjuWz_AD3WfXJc03AhIO_w,The N Crowd,111 S Independence Mall E,Philadelphia,PA,19106,90,J-4NdnDZ0pUQaUEEwDI9KQ,5,I thoroughly enjoyed the show.  Chill way to spend a Friday night.
bbEXAEFr4RYHLlZ-HFssTA,The Original Habit Burger Grill,5735 Hollister Ave,Goleta,CA,93117,329,YbMyvlDA2W3Py5lTz8VK-A,5,"Great burgers,fries and salad!  Burgers have a hint of salt and pepper flavor.

This location is very quaint. They only have outdoor seating

Friendly staff.

Street parking as well as parking lot in the back."
0pMj5xUAecW9o1P35B0AMw,Wawa,2544 W Main Street,Norristown,PA,19403,8,40thYphUgIfvJq17QCfTwA,5,Great staff always helps and always nice. Always clean and huge store size. Stays stocked with everything you need. The staff always helps make my custom breakfast bagel
X8lfGPagfLzfOsx0k08NRQ,Landa Muffler & Brake,816 E 4th St,Reno,NV,89512,29,xdQe2E8jR6pLA07p1aYtKA,5,"Took my vehicle here for some work a few years ago for a manufacturer recall. Problem went away and then started hearing another noise which I thought was related, but turned out was a completely different issue. Kevin and his mechanic lifted my car right up and fixed the issue FREE OF CHARGE even though I told them I''d pay. Outstanding individuals for doing that. Highly recommend!"
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,CA,93101,389,L0jv8c2FbpWSlfNC6bbUEA,5,"What a great addition to the Funk Zone!  Grab a bite, grab some tastings, life is good. Right next door to the Santa Barbara Wine Collective, in fact it actually shares the same tables.  We had a fabulous savory croissant."
LfYUOclwLs_SPrNAdKMjsw,Ralston Massage Center,"145 Hillcrest Dr, Ste B",Reno,NV,89509,39,rj0asGlfKjlXH6iEgu-jdw,5,Nice relaxing place to get a massage! Same day appointments are easy to come by! I have never been disappointed with any therapist I have had at the Center!
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,2000 Market St,Philadelphia,PA,19103,65,JBWZmBy69VMggxj3eYn17Q,5,"My boyfriend and I tried this deli for the first time today. I had a turkey, avocado & bacon panini and he ha a buffalo chicken wrap. We will definitely be returning. The wait for food wasn''t too long, which is always appreciated during lunch hour. There was SO much to choose from. They have salads, soup, macaroni, sandwiches and hot food. I love a deli that has many options to choose from!"
oBhJuukGRqPVvYBfTkhuZA,Square 1682,121 S 17th St,Philadelphia,PA,19103,385,YcLXh-3UC9y6YFAI9xxzPQ,4,"The only reason I didn''t give this restaurant a 5 star rating, is because of one single pretentious waiter. As a 4 night guest at Hotel Palomar, the location of the restaurant is an obvious plus. The first night of my stay, I met a coworker in the restaurant for a cocktail. When we arrived, the host staff were busy and not available, so we just walked in. The restaurant was not too busy, so we just looked at a small table next to the bar and proceeded to take a seat. A waiter came by and I quickly asked if we could have a seat, before sitting down and told him we''d only be having cocktails. He stumbled on his reply, and in an irritated/in-convinced tone, told me I guess it would be fine and basically just kept walking mid sentence. My guest and I brushed it off, and started having a conversation while looking at the drink menu. To make a long story short, he was distant and we both got the couldn''t be bothered vibe from him. When it came to the bill, we asked if it could be split due to company transaction policies, and you would have thought asked him for some inconceivable task. We basically spent the rest of our night and elevator ride to our room in shock of the rudeness we had just experienced. 

Although that situation left a bad taste in our mouth, and the night before we decided to avoid the restaurant, we decided to grab another cocktail and give this place one more try. After looking around and ensuring last nights waiter wasn''t on shift, we walked over to the bar and started looking over the menu. Instantly, the bartender greeted us with pleasant small talk and made us feel 100% welcome. He asked about our day, recommended cocktails and was a completely genuine person. This guy (I think his name was Ben) is an absolute star! He gave us lessons on Whiskey, described how to make classic cocktails, and was 100% invested in our experience. This is exactly what a bartender at a 4/5 star establishment should be - actually he exceeds that. He was kind, funny, friendly and completely redeemed this restaurant/bar from our terrible experience the night before. 
I also ordered room service last night from this restaurant, and it was amazing. The bacon wrapped dates and chocolate cake are to die for! Great restaurant and amazing bartender(s). Too bad one bad egg could have spoiled this experience."
eaJCpC6IhYphj7bwCDHTwQ,Three Brothers Coffee,2813 W End Ave,Nashville,TN,37203,249,qGQvUHmC02PAZW3H1WTIfw,5,"Stopped by after a Sunday morning walk in the park - great food, coffee customer service - love the vibe in here"
W4ZEKkva9HpAdZG88juwyQ,Mr. B's Bistro,201 Royal St,New Orleans,LA,70130,2064,jC-fGfx-YLqxVBcyTAd4Pw,3,"In a word... OVERRATED!.  The food took forever to come out.  The burger was WAY overcooked (Especially when I ordered it Medium Rare) and the Seafood Jumbalaya was Decent.  Not worth the price.  There are better places to eat in the french quarter.  It was not horrible, but for everything that we had heard about this place, I would have expected much better."
jTI5Xjk27An8ceJ6VwpXiQ,DoubleTree by Hilton Hotel Philadelphia Center City,237 S Broad St,Philadelphia,PA,19107,338,ra9fNjYUumKp_iaqv-jjDg,4,"Comfortable bed, good breakfast, fast internet, great location, and low price. Overall I was really impressed with this place. However, if you stay on the top floors you may be waiting up to 15 minutes for an elevator in the morning."
GILL0ZkvVXJaNQzYRXfMQw,Paris Parker Salon & Spa,4900 Prytania St,New Orleans,LA,70115,119,cejwyz1Hn1yQ-v2m9PAovQ,5,"I absolutely love Courtney! She is hands down the best hairstylist I have ever had. The reason I think she is so great is that she knows what will look best on me and over the past year has understood my limits for styles. I always go into the salon and tell her to cut my hair how she thinks will look best, and I always leave blown away at what she does. You know you have a great stylist when you don''t have to specify what you want done, but instead they see what needs to be done. Great stylist, great personality and very knowledgeable. I would highly recommend her to anyone who wants to look their best."
qO9dNNIvNbCBd8ZgjxMxgQ,HOME Santa Barbara,14 Parker Way,Santa Barbara,CA,93101,13,2u5Skti5mZam_-XTKPelvA,5,"Farmhouse, rustic, chic.Helpful staff with great ideas to decorate your home. Prices reasonable. Store has items from Joanna Gaines ( Fixer Upper) and much more. Finally a good home store in SB with reasonable prices."
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,7235 Rising Sun Ave,Philadelphia,PA,19111,116,mCVyppNwK2qPOJHXgs0p2Q,5,"My brother came to visit and we wanted to pick up a six pack of good beers for a night in. Ended up staying and having a few while playing their Nintendo 64 (Super Smash Brothers, which the owner said was donated by fellow patrons). It''s a great place with good food and genuinely nice people. Should be a staple in the Northeast."
cg4JFJcCxRTTMmcg9O9KtA,Ava,718 S Howard Ave,Tampa,FL,33606,544,meGaFP7yxQdjyABrYDVeoQ,1,"Skip this train wreck if you are looking for dinner.  Our server was clueless...like we seriously thought she was lost in the restaurant.  Had to ask for setups, water refills, etc.  Ordered chicken parmesan and got eggplant parmesan instead with a fish bone in it.  The drinks were good."
K96G6_BqFbm5iGTzh85-bQ,Ashley HomeStore,6609 Edwardsville Crossing,Edwardsville,IL,62025,54,NWwUYu43-FpiBe9dQz1ZSA,5,Had a wonderful experience with JT and Ashley Furniture store!! He was helpful even when I had to change my order.
7wQEzj-0yOpLiANNLuUflQ,Deepwater Diner,455 Shell Rd,Penns Grove,NJ,08069,49,nAE4IGJMRxDfas0qYabMWw,4,Excellent service! Great diner food and breakfast is served all day. Came here for lunch- they were busy but very friendly and hospitable. Easy to get to off the 295.
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,230 Stearns Wharf,Santa Barbara,CA,93101,2404,4zopEEPqfwm-c_FNpeHZYw,5,"We were a bit weary about trying the Shellfish Company on the Wharf as more often than not, many places like these (see Cannery Row, Monterey) feast on a captive audience and provide sub-standard fare at high prices.

However, emboldened by the perennial good reviews on Yelp, we suppressed our initial observations and went ahead with the trying it out. The place is small, so definitely plan ahead. You will have to wait, so either you know, just do so, or perhaps try to visit outside of peak hours. Luckily, our wait was only about 20 minutes as the dinner rush was just leveling off.

The special was the local rock crab - $25 for 3 lbs of California Rock Crab, salad, and your choice of soup/chowder. After taking a look at a few trays of rock crab being served out, the wife and I both opted for it, as it looked awesome.  

The salad/chowder combo was great as you actually received hearty portions of each, so it was a good start. As much as I liked the chowder however, the Shrimp Bisque the wife ordered was amazing, so I would recommend that going forward. 

But enough of prattling on about side dishes: the rock crab tasted just as glorious as it looked. Juicy, buttery chunks of white crab meat await you, just a few cracks away. While the rock crab shells are pretty thick, once cracked, they splinter and separate easily, a good sign they are cooked to perfection. The rock crabs provided a great amount of meat for what I felt to be the least amount of work you''re going to do for crab, King or otherwise. 

We were thoroughly satisfied with our meal and along with the special being an overall great value, devouring the Rock Crab at SBSC turned out to be one of the favorite meals on the trip. I think ordering crab here is a safe proposition indeed."
pAgtmlIGqFYaWdBoCUeitw,Holiday Inn Nashville-Vanderbilt,2613 West End Ave,Nashville,TN,37203,105,qdzNocGBnh8U-cvE_N8qbA,1,"The TV shows are $4.99 and they have commercials! What a cheesy way to make money and a sign of a less than classy hotel, particularly when you pay more than $150 a night.  And there is NO complimentary breakfast, just an overpriced buffet, something even the cheapest hotels in California provide."
sLgnx_WFCjEoPsS6NwU70Q,Le Peep,3036 N Eagle Rd,Meridian,ID,83646,259,Lk21QNbrI_e3nf0GvWSPww,5,Our family returned for breakfast again this weekend and the food and service was again impeccable ... Highly recommend
Wy8Hswf2cLQGRZN6armkag,Jack in the Box,6875 Hollister Ave,Goleta,CA,93117,86,PDHRlnEdkEcwATry4w71PQ,1,"If I could give it a zero, I would. I order a plain hamburger, and realized they put  bacon in it (which I am allergic to and unable to eat) after two bites. When I went back to the drive-through window to complain (didn''t realize the actual restaurant was open--it was almost 2 after all...), the guy took back the burger, said nothing, and disappeared. After 2 minutes of awkwardly making conversation with the next people in line in their car, he came back and rudely told me I had to go inside to get my food. Which I did. And still did not get an apology.

I refuse to go back there after that ordeal, which is a shame, because it''s nice to have a variety of places to go to after DT. Guess Freebirds it is!"
5Ce3lZksYVkCbrihqylVHQ,Sushi Nara,64 N Harrison Rd,Tucson,AZ,85748,159,ymhbOMW63B_vGaRFR3XT0A,5,"I just started going to Sushi Nara this month (they opened just a short time ago).  I love this place; it is clean, the staff are friendly and acommodating, and the service is fast.  The sushi is always delicious ((I''ve been here 3 times) and the prices are reasonable. In fact, this week my husband stopped in for take out, bought 4 sushi rolls and the total was $24.  That is amazing.  

I love the freshness of the food and there''s a huge selection to choose from.

Everyone on the eastside, check this place out!"
AgbRp5NLsP1-J1fdg6Hdcw,Hands On Bicycle,1453 Gulf To Bay Blvd,Clearwater,FL,33755,13,5GGfWhVGmubQLmbVbye8vw,5,Awesome little shop.  The owner really knows his stuff and you can tell he loves his work.  They have tires and other parts you won't find anywhere else.
lpfrjbjIWC0BNZThaSDMLw,Simply Thai Restaurant,5 Paddock Hills Plz,Florissant,MO,63033,85,_UYXYxRRnZtH-dNJZEkMQQ,5,"Been here so many times before and all I can say is the food is really good. A hidden gem in Florissant, it has the best Panang curry around. Haven''t been to their sister restaurant yet, but I can''t seem to want to move on when I am always so satisfied with their fare here."
18eWJFJbXyR9j_5xfcRLYA,Siam Elephant,509 Linden Ave,Carpinteria,CA,93013,460,byblHsbxiqb1pC1cuSfslA,4,"This is the first time I tried this place and  I was surprisingly surprised. I had a combination dinner pad Thai and coconut soup. The soup was very tasty as I never had coconut soup before. The pad Thai was exactly what I was expecting and it did not disappoint. The restaurant had great Thai decor and music. The staff and service was top notch. For a town with not much selection for food, this was a great change of pace. This may become my go to place in Carp."
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,135 2nd Ave N,Nashville,TN,37201,182,xumAI7br1X67OY_bU_Yqhg,5,"This place was so chill and relaxing. When I come back it''ll definitely be in my list if stops. Not to mention the artist performing was fun and eclectic  (I mean really, a country version of Let It Go, what''s not to love?)"
m5-FtgWRd4qA7j0vaOXiXQ,Preservation Hall,726 Saint Peter St,New Orleans,LA,70116,745,QS7CuOtFLuS3dnwKHRtSYQ,5,"Had to wait until my third trip to NOLA to actually get in the door.  First two times I tried waiting in line, this time around we got smart and bought reserved seats so we could be on the benches. Well worth the extra $20 to not hassle with waiting in line for an hour. It goes toward the preservation of Jazz so it''s a good cause...just splurge.

The show was fantastic.  True musicians and great personalities to boot. I can only imagine that this is what concerts were like 50 years ago. The band members were dapper, engaging and insanely talented.  It''s in a tiny hole in the wall space that only holds maybe 200 people? So it''s very intimate and nice to see the smiles on the faces of the musicians as they share their craft with you. This is a must do while in NOLA!"
nYRFGR2C-OOhRvO8rvI4qw,Mrs Marty's Deli,1991 Sproul Rd,Broomall,PA,19008,79,vZNDuj4a8cFQV9t6-FijSQ,3,Great food. Terrible customer service. I've been three times and I've had two different older waitresses. Not pleasant to deal with whatsoever. The owner on the other hand is lovely.
EBn3U4mpnIRLIy2lKuilRQ,Logan's Roadhouse,727 Thompson Ln,Nashville,TN,37204,120,pl5AjpEcFxFTltkBvHjsRA,1,"Been to this location twice and will never go back again!!!!

First time was mediocre, the second time was so very disappointing it beggars belief. I ordered some ribs and had to send them back because one half was warm and the other half was refrigerator cold. They came back and one side was really hot and the other side was still cold, third time it was edible. The manager came over the third time to apologize, never once offered to comp anything. I''m not the kind of guy to cause a fuss to get something comped, but to send something back three times to get it cooked properly and only get an insincere apology really pisses me off, enough for me to write this review."
GBTPC53ZrG1ZBY3DT8Mbcw,Luke,333 Saint Charles Ave,New Orleans,LA,70130,4554,yyrMqY7sNp5gT7KJ1AaYWA,4,"We have been here twice for brunch and have enjoyed it immensely. Everything we have tried has been delicious, particularly the grits with scallions and sour cream. But the room is always freezing so be sure to bring a sweater!"
pUVRCYL8rT4I5Ry5FYkRsA,Topa Topa Brewing Company,120 Santa Barbara St,Santa Barbara,CA,93101,105,SpmKsFnwg35PTgCVujOOJA,5,"Sweet spot in the Waterline. Came for some live music with friends on Saturday. Very cool. Best local beer in town by far. Seems like the concept is a few notches up from Fig Mountain. Definitely prefer Topa. Even cooler is that you can order incredible food from the Nook Restaurant, and walk two feet into Lama Dog which is part of the Waterline. I love it!!"
IfcJZKQiBKf_9yq784qbww,Westfall Roofing,5413 W Sligh Ave,Tampa,FL,33634,27,f1rzB39-cvLf0ZUgLbgQGA,5,"Westfall replaced our roof in April. We could not be more pleased with the entire process. Quality roof, excellent communication and excellent follow up. Very happy we chose this company to replace our roof."
